City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chicama,20,PE,1582872434,88,-7.84,-79.15,71.6,4.7
1,hithadhoo,92,MV,1582872434,77,-0.6,73.08,83.64,12.28
2,kholodnyy,72,RU,1582872434,91,62.72,147.95,-6.5,7.76
3,luderitz,0,NA,1582872434,77,-26.65,15.16,62.6,16.11
4,cayenne,28,GF,1582872434,88,4.93,-52.33,75.2,1.12
5,iqaluit,40,CA,1582872434,67,63.75,-68.51,-22.0,3.36
6,henties bay,0,NA,1582872435,90,-22.12,14.28,64.0,4.32
7,ambagarh chauki,0,IN,1582872435,21,20.78,80.72,83.07,7.05
8,cape town,20,ZA,1582872239,60,-33.93,18.42,70.0,14.99
9,bubaque,11,GW,1582872435,71,11.28,-15.83,78.85,7.2
10,matucana,99,PE,1582872435,97,-11.85,-76.4,53.55,2.1
11,new norfolk,22,AU,1582872435,30,-42.78,147.06,68.0,17.22
12,barrow,1,US,1582872436,88,71.29,-156.79,-38.2,6.93
13,vila velha,90,BR,1582872266,94,-20.33,-40.29,73.4,10.29
14,la ronge,5,CA,1582872436,92,55.1,-105.28,10.4,2.24
15,puerto ayora,42,EC,1582872436,100,-0.74,-90.35,79.0,5.01
16,dunedin,50,NZ,1582872436,65,-45.87,170.5,71.01,3.0
17,rikitea,100,PF,1582872436,68,-23.12,-134.97,80.51,2.42
18,los alamos,1,US,1582872436,29,35.89,-106.31,39.0,3.36
19,punta arenas,75,CL,1582872436,66,-53.15,-70.92,50.0,32.21
20,lavrentiya,0,RU,1582872436,86,65.58,-171.0,-13.68,1.01
21,zuwarah,0,LY,1582872436,69,32.93,12.08,56.25,8.32
22,chandbali,0,IN,1582872437,65,20.78,86.77,73.58,7.96
23,busselton,1,AU,1582872437,49,-33.65,115.33,89.01,8.99
24,ballina,0,AU,1582872437,78,-28.87,153.57,84.2,12.75
25,albany,20,US,1582872214,39,42.6,-73.97,28.4,19.46
26,sao pedro da aldeia,100,BR,1582872396,81,-22.84,-42.1,75.11,6.26
27,provideniya,40,RU,1582872437,83,64.38,-173.3,-4.0,6.71
28,yellowknife,90,CA,1582872437,78,62.46,-114.35,12.2,6.93
29,bredasdorp,97,ZA,1582872437,88,-34.53,20.04,63.0,12.75
30,port alfred,92,ZA,1582872437,84,-33.59,26.89,64.99,1.99
31,nemuro,75,JP,1582872438,53,43.32,145.57,26.6,10.29
