City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,chuy,41,UY,1582915169,29,-33.7,-53.46,88.77,3.96
1,airai,100,TL,1582915169,85,-8.93,125.41,69.01,5.23
2,punta arenas,79,CL,1582915169,51,-53.15,-70.92,59.0,25.28
3,kawalu,99,ID,1582915169,91,-7.38,108.21,72.09,2.55
4,kavieng,65,PG,1582915169,72,-2.57,150.8,84.11,3.87
5,coquimbo,20,CL,1582915169,72,-29.95,-71.34,66.2,11.41
6,pulheim,75,DE,1582915169,68,51.0,6.8,44.01,17.22
7,codrington,100,AU,1582915169,84,-38.27,141.97,60.96,12.44
8,cherskiy,100,RU,1582915169,96,68.75,161.3,3.16,12.82
9,vaini,20,TO,1582915169,100,-21.2,-175.2,75.2,3.36
10,puerto ayora,40,EC,1582915169,70,-0.74,-90.35,86.0,20.8
11,kapaa,20,US,1582915169,60,22.08,-159.32,73.4,24.16
12,rundu,100,NA,1582915169,78,-17.93,19.77,71.6,11.41
13,arraial do cabo,75,BR,1582915169,88,-22.97,-42.03,75.2,5.82
14,batemans bay,100,AU,1582915169,89,-35.72,150.18,63.0,1.01
15,new norfolk,57,AU,1582915169,58,-42.78,147.06,59.0,18.34
16,lata,60,PT,1582915170,72,40.16,-8.33,59.0,11.41
17,avarua,58,CK,1582915170,83,-21.21,-159.78,80.6,4.7
18,pandhurna,0,IN,1582915170,27,21.6,78.52,73.76,4.68
19,angoche,97,MZ,1582915170,93,-16.23,39.91,77.09,4.88
20,sedona,1,US,1582915170,24,34.87,-111.76,61.0,4.7
21,dingle,95,PH,1582915170,89,11.0,122.67,73.74,11.77
22,jamestown,90,US,1582915170,79,42.1,-79.24,26.6,20.8
23,saint george,1,US,1582915170,45,37.1,-113.58,55.99,3.18
24,gushikawa,1,JP,1582915170,51,26.35,127.87,66.2,5.82
25,port blair,72,IN,1582915170,79,11.67,92.75,79.92,13.06
26,mataura,47,NZ,1582915170,97,-46.19,168.86,42.8,2.06
27,hilo,40,US,1582915170,82,19.73,-155.09,68.0,5.82
28,yellowknife,90,CA,1582915040,77,62.46,-114.35,1.0,18.34
29,dikson,100,RU,1582915170,92,73.51,80.55,6.94,6.04
30,poum,89,NC,1582915170,81,-20.23,164.02,81.9,18.21
31,fairbanks,20,US,1582915170,73,64.84,-147.72,-15.0,1.39
32,carmen,90,MX,1582915168,77,18.63,-91.83,69.8,10.29
33,geraldton,75,AU,1582915170,83,-28.77,114.6,71.6,6.93
34,mezhdurechensk,100,RU,1582915170,91,53.69,88.06,22.44,10.31
35,carnarvon,40,AU,1582915171,88,-24.87,113.63,77.0,16.11
36,korhogo,59,CI,1582915171,13,9.45,-5.63,94.86,2.37
37,suzhou,90,CN,1582914950,93,31.31,120.62,52.0,4.47
38,matam,5,SN,1582915171,13,15.62,-13.33,100.4,4.7
39,huarmey,3,PE,1582915171,47,-10.07,-78.15,86.11,13.04
40,kittery,40,US,1582915029,27,43.09,-70.74,39.0,18.34
41,victoria,20,HK,1582915041,77,22.29,114.16,71.01,8.05
42,sembakung,100,ID,1582915171,88,3.82,117.25,76.59,4.0
43,mporokoso,100,ZM,1582915171,99,-9.37,30.12,63.7,4.41
44,kiruna,100,SE,1582915171,78,67.86,20.23,14.0,20.8
45,fortuna,90,US,1582915171,93,40.6,-124.16,51.01,4.7
